Date,Company,Close
1962-01-02,Boeing,0.823045254
1962-01-03,Boeing,0.839506149
1962-01-04,Boeing,0.831275702
1962-01-05,Boeing,0.814814806
1962-01-08,Boeing,0.816872418
1962-01-09,Boeing,0.81893003
1962-01-10,Boeing,0.81893003
1962-01-11,Boeing,0.827160478
1962-01-12,Boeing,0.849794209
1962-01-15,Boeing,0.833333313
1962-01-16,Boeing,0.827160478
1962-01-17,Boeing,0.82921809
1962-01-18,Boeing,0.833333313
1962-01-19,Boeing,0.872428
1962-01-22,Boeing,0.870370388
1962-01-23,Boeing,0.872428
1962-01-24,Boeing,0.876543224
1962-01-25,Boeing,0.897119343
1962-01-26,Boeing,0.893004119
1962-01-29,Boeing,0.897119343
1962-01-30,Boeing,0.905349791
1962-01-31,Boeing,0.923868299
1962-02-01,Boeing,0.903292179
1962-02-02,Boeing,0.911522627
1962-02-05,Boeing,0.895061731
1962-02-06,Boeing,0.895061731
1962-02-07,Boeing,0.895061731
1962-02-08,Boeing,0.897119343
1962-02-09,Boeing,0.913580239
1962-02-12,Boeing,0.899176955
1962-02-13,Boeing,0.905349791
1962-02-14,Boeing,0.911522627
1962-02-15,Boeing,0.917695463
1962-02-16,Boeing,0.907407403
1962-02-19,Boeing,0.903292179
1962-02-20,Boeing,0.899176955
1962-02-21,Boeing,0.888888896
1962-02-23,Boeing,0.860082328
1962-02-26,Boeing,0.864197552
1962-02-27,Boeing,0.874485612
1962-02-28,Boeing,0.88271606
1962-03-01,Boeing,0.872428
1962-03-02,Boeing,0.864197552
1962-03-05,Boeing,0.86213994
1962-03-06,Boeing,0.833333313
1962-03-07,Boeing,0.831275702
1962-03-08,Boeing,0.847736597
1962-03-09,Boeing,0.843621373
1962-03-12,Boeing,0.849794209
1962-03-13,Boeing,0.847736597
1962-03-14,Boeing,0.847736597
1962-03-15,Boeing,0.835390925
1962-03-16,Boeing,0.833333313
1962-03-19,Boeing,0.81893003
1962-03-20,Boeing,0.816872418
1962-03-21,Boeing,0.816872418
1962-03-22,Boeing,0.82921809
1962-03-23,Boeing,0.82921809
1962-03-26,Boeing,0.827160478
1962-03-27,Boeing,0.833333313
1962-03-28,Boeing,0.835390925
1962-03-29,Boeing,0.839506149
1962-03-30,Boeing,0.825102866
1962-04-02,Boeing,0.827160478
1962-04-03,Boeing,0.810699582
1962-04-04,Boeing,0.790123463
1962-04-05,Boeing,0.79835391
1962-04-06,Boeing,0.792181075
1962-04-09,Boeing,0.777777791
1962-04-10,Boeing,0.773662567
1962-04-11,Boeing,0.796296299
1962-04-12,Boeing,0.771604955
1962-04-13,Boeing,0.783950627
1962-04-16,Boeing,0.771604955
1962-04-17,Boeing,0.769547343
1962-04-18,Boeing,0.777777791
1962-04-19,Boeing,0.796296299
1962-04-23,Boeing,0.812757194
1962-04-24,Boeing,0.810699582
1962-04-25,Boeing,0.800411522
1962-04-26,Boeing,0.769547343
1962-04-27,Boeing,0.763374507
1962-04-30,Boeing,0.740740716
1962-05-01,Boeing,0.773662567
1962-05-02,Boeing,0.781893015
1962-05-03,Boeing,0.777777791
1962-05-04,Boeing,0.773662567
1962-05-07,Boeing,0.777777791
